"code_operation","rubrique"
D1,"2720"
D1,"2760-3"
D4,"2760"
D5,"2760-1"
D5,"2760-2"
D5,"2760-4"
D8,"2780"
D8,"2761"
D8,"2782"
D8,"2790"
D8,"2791"
D9,"2770"
D9,"2771"
D9,"2790"
D9,"2791"
D9,"2792-2"
D10,"2770"
D10,"2740"
D10,"2771"
D13,"2710"
D13,"2711"
D13,"2712"
D13,"2713"
D13,"2714"
D13,"2715"
D13,"2716"
D13,"2717"
D13,"2718"
D13,"2719"
D13,"2790"
D14,"2710"
D14,"2711"
D14,"2712"
D14,"2713"
D14,"2714"
D14,"2715"
D14,"2716"
D14,"2717"
D14,"2718"
D14,"2719"
D15,"2710"
D15,"2711"
D15,"2712"
D15,"2713"
D15,"2714"
D15,"2715"
D15,"2716"
D15,"2717"
D15,"2718"
D15,"2719"
R1,"2740"
R1,"2770"
R1,"2771"
R1,"2781"
R1,"2782"
R1,"2790"
R1,"2791"
R1,"2910"
R1,"2971"
R2,"2770"
R2,"2771"
R2,"2790"
R2,"2791"
R3,"2711"
R3,"2714"
R3,"2716"
R3,"2730"
R3,"2770"
R3,"2780"
R3,"2781"
R3,"2782"
R3,"2790"
R3,"2791"
R4,"2770"
R4,"2713"
R4,"2712"
R4,"2790"
R4,"2791"
R5,"2770"
R5,"2771"
R5,"2790"
R5,"2791"
R6,"2770"
R6,"2790"
R7,"2770"
R7,"2771"
R7,"2790"
R7,"2791"
R8,"2770"
R8,"2791"
R9,"2770"
R9,"2790"
R12,"2711"
R12,"2712"
R12,"2713"
R12,"2714"
R12,"2715"
R12,"2716"
R12,"2717"
R12,"2718"
R12,"2719"
R12,"2782"
R12,"2790"
R12,"2791"
R12,"2795"
R13,"2711"
R13,"2712"
R13,"2713"
R13,"2714"
R13,"2715"
R13,"2716"
R13,"2717"
R13,"2718"
R13,"2719"
